Name,Web_Code,Review
"AMICA WA 10 EX Waschmaschine (Frontlader, freistehend, 6 kg, E, 1000 U/Min, AutoSensor)",32004006143,0.0
"BOSCH WGG24407EX Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, Serie 6)",32008155010,0.0
"Samsung WW1EBB944AGHS2 Waschmaschine (Frontlader, 11 kg, A, 1400 U/min, WW9400B)",32008065743,0.0
"GORENJE WNHEI74SAPS/DE Waschmaschine (Frontlader, freistehend, 7 kg, A, 1.400 U/Min)",32007028372,3.3
"AEG L6FL831EX Waschmaschine (Frontlader, 8 kg)",32008137500,0.0
"BEKO EX8146ST1 Waschmaschine (Frontlader, freistehend, 8 kg, A, 1.400 U/Min, Bluetooth)",32008029183,5.0
"MIELE WWE 360 WPS Waschmaschine (Frontlader, freistehend, 8 kg, A, 1400 U/Min, Miele@home)",32008119042,0.0
"AMICA WA 14-1 EX Waschmaschine (Frontlader, freistehend, 7 kg, B, 1.400 U/Min)",32007008143,0.0
"MIELE WCA030 WCS Active Waschmaschine (Frontlader, freistehend, 7 kg, B, 1.400 U/Min)",32007009042,0.0
"MIELE WWD 660 WCS ModernLife Waschmaschine (Frontlader, 8 kg, EEK A, 1400 U/min, Watercontrol, TwinDos, CapDosing, Display, Profi-Eco-Motor)",32008114042,3.9
"BAUKNECHT AW 7A3 B Waschmaschine (Frontlader, freistehend, 7 kg, B, 1400 U/Min)",32007040017,0.0
"MIELE WWD120 WCS 8kg Waschmaschine (Frontlader, freistehend, 8 kg, 1.400 U/Min)",32008101042,4.0
"AEG LR6FL141EX Waschmaschine (Frontlader, freistehend, 10 kg, A, 1400 U/Min, ÖKO LAVAMAT, Serie 6000)",32008146500,0.0
"AEG L6FBA51480 Waschmaschine (Frontlader, freistehend, 8 kg, 1.400 U/Min, Serie 6000, ÖKO LAVAMAT)",32008130500,4.6
"Samsung WW8TT554AEX Waschmaschine (Frontlader, freistehend, B, 8 kg, 1400 U/min, WiFi, Smart, Bixby, Alexa, Google-Assistant, AddWash, WW5500T)",32008053743,5.0
