title,brand
Bandeau dress,"Rs.1,999.00"
Cotton poplin beach shirt,"Rs.1,999.00"
Ribbed bodycon dress,"Rs.1,499.00"
Mesh slip dress,"Rs.2,299.00"
Lace top,Rs.999.00
Flared-skirt mini dress,"Rs.2,999.00"
Cotton cargo trousers,"Rs.1,999.00"
Frill-trimmed chiffon dress,"Rs.2,699.00"
Crinkled wrap dress,"Rs.1,499.00"
Broderie anglaise dress,"Rs.2,699.00"
Ribbed deep-neck T-shirt,"Rs.1,399.00"
Pleated satin shorts,"Rs.1,499.00"
Textured strappy dress,"Rs.2,999.00"
Boxy-style embroidered T-shirt,Rs.699.00
Baggy Regular Jeans,"Rs.2,699.00"
Baggy Regular Jeans,"Rs.2,699.00"
Boxy-style embroidered T-shirt,Rs.699.00
Cotton wrap skirt,"Rs.2,299.00"
Pleated satin shorts,"Rs.1,499.00"
Twist-detail peplum top,"Rs.1,499.00"
Boxy-style embroidered T-shirt,Rs.699.00
Glass bead-embellished net skirt,"Rs.5,499.00"
Flared-skirt mini dress,"Rs.2,999.00"
Ankle-length linen trousers,"Rs.2,299.00"
Knot-detail skirt,"Rs.2,299.00"
Balloon-sleeved open-backed dress,"Rs.1,999.00"
Smocked off-the-shoulder top,"Rs.1,999.00"
Linen-blend vest top,"Rs.1,299.00"
Linen-blend trousers,"Rs.2,299.00"
Lyocell T-shirt,"Rs.1,299.00"
Oversized denim shirt,"Rs.5,499.00"
Bikini bottoms,Rs.799.00
Lace top,Rs.999.00
Wide linen-blend trousers,"Rs.2,299.00"
Bikini top,Rs.799.00
Pull-on shorts,"Rs.1,299.00"
Textured jersey dress,"Rs.1,999.00"
Pleated satin shorts,"Rs.1,499.00"
Pleated A-line skirt,"Rs.1,499.00"
2-pack strappy tops,Rs.799.00
Draped halterneck dress,"Rs.1,799.00"
Oversized denim jacket,"Rs.3,599.00"
Oversized T-shirt,"Rs.1,499.00"
Rib-knit dress,"Rs.1,499.00"
Rib-knit dress,"Rs.1,499.00"
Lace top,Rs.999.00
Lyocell T-shirt,"Rs.1,299.00"
Lace-trimmed bodycon dress,"Rs.1,299.00"
Tie-strap cotton dress,"Rs.1,999.00"
2-pack lace-trimmed vest tops,"Rs.1,399.00"
Off-the-shoulder top,Rs.999.00
Boxy-style embroidered T-shirt,Rs.699.00
Pleated satin shorts,"Rs.1,499.00"
Rib-knit cardigan,"Rs.1,499.00"
Flared trousers,"Rs.1,999.00"
Cropped strappy top,Rs.499.00
Linen-blend mini skirt,"Rs.1,499.00"
Lacing-detail A-line dress,"Rs.2,699.00"
Linen-blend pull-on shorts,"Rs.1,399.00"
Twist-detail dress,"Rs.1,499.00"
Rib-knit dress,"Rs.1,499.00"
Pleated A-line skirt,"Rs.1,499.00"
Pull-on shorts,"Rs.1,299.00"
Tie tanga bikini bottoms,Rs.799.00
Sheer lace strappy top,Rs.999.00
Wide shorts,"Rs.2,199.00"
Broderie anglaise dress,"Rs.2,699.00"
Baggy Regular Jeans,"Rs.2,699.00"
Smock-waisted top,"Rs.1,499.00"
Smock-waisted top,"Rs.1,499.00"
Crinkled wrap dress,"Rs.1,499.00"
Linen-blend cargo shorts,"Rs.1,699.00"
Jacquard-knit dress,"Rs.2,699.00"
Satin skirt,"Rs.2,699.00"
Baggy Regular Jeans,"Rs.2,699.00"
Broderie anglaise-detail dress,"Rs.2,199.00"
Frill-trimmed crêpe dress,"Rs.1,499.00"
A-line halterneck dress,"Rs.2,299.00"
Mini skirt,"Rs.2,999.00"
Ribbed deep-neck T-shirt,"Rs.1,399.00"
Blazer wrap dress,"Rs.2,699.00"
High Waist Bermuda shorts,"Rs.1,999.00"
Long jersey skirt,"Rs.2,699.00"
Balloon-sleeved open-backed dress,"Rs.1,999.00"
Embroidered rib-knit vest top,"Rs.1,499.00"
Lace-trimmed ribbed dress,"Rs.2,299.00"
Blazer wrap dress,"Rs.2,699.00"
V-neck bodycon dress,"Rs.2,299.00"
Rib-knit biker shorts,"Rs.1,499.00"
Bikini bottoms,Rs.799.00
Lace-trimmed satin slip dress,"Rs.2,699.00"
Linen-blend dressing gown,"Rs.2,999.00"
